"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"appointment-lt","Appointment.replaces","Appointment.replaces","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/appointment-lt|0.3.0]]}
","Appointment replaced by this Appointment","Appointment replaced by this Appointment in cases where there is a cancellation, the details of the cancellation can be found in the cancellationReason property (on the referenced resource).","","","","","","","","","",,,,,"",,,,"Appointment.replaces",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.virtualService","Appointment.virtualService","","","",0,*,"","","","VirtualServiceDetail {[]} {[]}
","Connection details of a virtual service (e.g. conference call)","Connection details of a virtual service (e.g. conference call).","There are two types of virtual meetings that often exist:* a persistent, virtual meeting room that can only be used for a single purpose at a time, * and a dynamic virtual meeting room that is generated on demand for a specific purpose.Implementers may consider using Location.virtualService for persistent meeting rooms.If each participant would have a different meeting link, an extension using the VirtualServiceContactDetail  can be applied to the Appointment.participant BackboneElement.","","","","","","","","",,,,,"",,,,"Appointment.virtualService",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.supportingInformation","Appointment.supportingInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|5.0.0]]}
","Additional information to support the appointment","Additional information to support the appointment provided when making the appointment.","","","","","","","","","",,,,,"",,,,"Appointment.supportingInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.previousAppointment","Appointment.previousAppointment","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Appointment|5.0.0]]}
","The previous appointment in a series","The previous appointment in a series of related appointments.","This property is intended for use when representing a series of related appointments.  For example, in a nuclear medicine procedure, where there is an appointment for the injection of the isotopes, and then a subsequent appointment for the scan, the scan appointment would refer to the injection appointment via Appointment.previousAppointment.  For representing recurring appointments, see the guidance on recurring vs. series appointments.","","","","","","","","",,,,,"",,,,"Appointment.previousAppointment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.originatingAppointment","Appointment.originatingAppointment","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Appointment|5.0.0]]}
","The originating appointment in a recurring set of appointments","The originating appointment in a recurring set of related appointments.","This property is intended for use when representing a recurring set of related appointments.For example, a patient undergoing physical therapy may have a recurring appointment every Tuesday and Thursday.  Each occurrence of the set will refer to the originating appointment, which contains the recurring template information.  For representing appointment series, see the guidance on recurring vs. series appointments.","","","","","","","","",,,,,"",,,,"Appointment.originatingAppointment",0,1,"app-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.start","Appointment.start","","","",0,1,"Y","","Y","instant {[]} {[]}
","When appointment is to take place","Date/Time that the appointment is to take place.","If actual start/end times are not known then the requested period start/end can be used.","","","","","","","","",,,,,"",,,,"Appointment.start",0,1,"app-5
app-3app-2","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.end","Appointment.end","","","",0,1,"Y","","Y","instant {[]} {[]}
","When appointment is to conclude","Date/Time that the appointment is to conclude.","If actual start/end times are not known then the requested period start/end can be used.","","","","","","","","",,,,,"",,,,"Appointment.end",0,1,"app-5
app-3app-2","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.minutesDuration","Appointment.minutesDuration","","","",0,1,"","","","positiveInt {[]} {[]}
","Can be less than start/end (e.g. estimate)","Number of minutes that the appointment is to take. This can be less than the duration between the start and end times.  For example, where the actual time of appointment is only an estimate or if a 30 minute appointment is being requested, but any time would work.  Also, if there is, for example, a planned 15 minute break in the middle of a long appointment, the duration may be 15 minutes less than the difference between the start and end.","","","","","","","","","",,,,,"",,,,"Appointment.minutesDuration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.requestedPeriod","Appointment.requestedPeriod","","","",0,*,"","","","Period {[]} {[]}
","Potential date/time interval(s) requested to allocate the appointment within","A set of date ranges (potentially including times) that the appointment is preferred to be scheduled within.

The duration (usually in minutes) could also be provided to indicate the length of the appointment to fill and populate the start/end times for the actual allocated time. However, in other situations the duration may be calculated by the scheduling system.","This does not introduce a capacity for recurring appointments.","","","","","","","","",,,,,"",,,,"Appointment.requestedPeriod",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.slot","Appointment.slot","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Slot|5.0.0]]}
","The slots that this appointment is filling","The slots from the participants' schedules that will be filled by the appointment.","","","","","","","","","",,,,,"",,,,"Appointment.slot",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.account","Appointment.account","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Account|5.0.0]]}
","The set of accounts that may be used for billing for this Appointment","The set of accounts that is expected to be used for billing the activities that result from this Appointment.","The specified account(s) could be those identified during pre-registration workflows in preparation for an upcoming Encounter.","","","","","","","","",,,,,"",,,,"Appointment.account",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.created","Appointment.created","","","",0,1,"","","","dateTime {[]} {[]}
","The date that this appointment was initially created","The date that this appointment was initially created. This could be different to the meta.lastModified value on the initial entry, as this could have been before the resource was created on the FHIR server, and should remain unchanged over the lifespan of the appointment.","This property is required for many use cases where the age of an appointment is considered in processing workflows for scheduling and billing of appointments.","","","","","","","","",,,,,"",,,,"Appointment.created",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.cancellationDate","Appointment.cancellationDate","","","",0,1,"","","","dateTime {[]} {[]}
","When the appointment was cancelled","The date/time describing when the appointment was cancelled.","If the appointment was cancelled multiple times, this would reflect the most recent cancellation.","","","","","","","","",,,,,"",,,,"Appointment.cancellationDate",0,1,"app-7
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.note","Appointment.note","","","",0,*,"Y","","","Annotation {[]} {[]}
","Additional comments","Additional notes/comments about the appointment.","Additional text to aid in facilitating the appointment. For instance, a note might be, ""patient should proceed immediately to infusion room upon arrival""Where this is a planned appointment and the start/end dates are not set then this field can be used to provide additional guidance on the details of the appointment request, including any restrictions on when to book it.Typically only the concept.text will be used, however occasionally a reference to some generic documentation (or specific) and also supports coded instructions if/when they are required.","","","","","","","","",,,,,"",,,,"Appointment.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.patientInstruction","Appointment.patientInstruction","","","",0,*,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Binary|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Communication|5.0.0]]}
","Detailed information and instructions for the patient","While Appointment.note contains information for internal use, Appointment.patientInstructions is used to capture patient facing information about the Appointment (e.g. please bring your referral or fast from 8pm night before).","","","","","","","","","",,,,,"",,,,"Appointment.patientInstruction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.basedOn","Appointment.basedOn","","incomingReferral
","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceRequest|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest|5.0.0]]}
","The request this appointment is allocated to assess","The request this appointment is allocated to assess (e.g. incoming referral or procedure request).","","","","","","","","","",,,,,"",,,,"Appointment.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.subject","Appointment.subject","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group|5.0.0]]}
","The patient or group associated with the appointment","The patient or group associated with the appointment, if they are to be present (usually) then they should also be included in the participant backbone element.","","","","","","","","","",,,,,"",,,,"Appointment.subject",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.participant","Appointment.participant","","","",1,*,"Y","","","BackboneElement {[]} {[]}
","Participants involved in appointment","List of participants involved in the appointment.","","","","","","","","","",,,,,"",,,,"Appointment.participant",1,*,"","app-1:Either the type or actor on the participant SHALL be specified {type.exists() or actor.exists()}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
"appointment-lt","Appointment.participant.id","Appointment.participant.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"appointment-lt","Appointment.participant.extension","Appointment.participant.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"appointment-lt","Appointment.participant.modifierExtension","Appointment.participant.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"appointment-lt","Appointment.participant.type","Appointment.participant.type","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Role of participant in the appointment","Role of participant in the appointment.","The role of the participant can be used to declare what the actor will be doing in the scope of this appointment.If the actor is not specified, then it is expected that the actor will be filled in at a later stage of planning.This value SHALL be the same when creating an AppointmentResponse so that they can be matched, and subsequently update the Appointment.","","","","","","","","",,"extensible","Role of participant in encounter.","http://hl7.org/fhir/ValueSet/encounter-participant-type|5.0.0","",,,,"Appointment.participant.type",0,*,"app-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.participant.period","Appointment.participant.period","","","",0,1,"","","","Period {[]} {[]}
","Participation period of the actor","Participation period of the actor.","","","","","","","","","",,,,,"",,,,"Appointment.participant.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"appointment-lt","Appointment.participant.actor","Appointment.participant.actor","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/patient-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/practitioner-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/practitioner-role-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/related-person-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/care-team-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/location-lt|0.3.0], CanonicalType[https://hl7.lt/fhir/base/StructureDefinition/healthcare-service-lt|0.3.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device|5.0.0]]}
","The individual, device, location, or service participating in the appointment","The individual, device, location, or service participating in the appointment.","Where a CareTeam is provided, this does not imply that the entire team is included, just a single member from the group with the appropriate role. Where multiple members are required, please include the CareTeam the required number of times.","","","","","","","","",,,,,"",,,,"Appointment.participant.actor",0,1,"app-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
